Rank,Country,Value,Year
—,World,"110,064,915",2024
1,United States,"29,167,779",2024
—,European Union,"19,403,162",2024
2,China,"18,273,357",2024
3,Japan,"6,272,363",2012
4,Germany,"4,710,032",2024
5,India,"3,889,130",2024
6,United Kingdom,"3,587,545",2024
7,France,"3,174,099",2024
—,African Union,"3,001,207",2022
8,Brazil,"2,616,156",2011
9,Italy,"2,417,242",2008
10,Russia,"2,292,470",2013
11,Canada,"2,214,796",2024
12,South Korea,"1,942,314",2021
13,Mexico,"1,848,125",2024
14,Australia,"1,802,006",2024
15,Spain,"1,731,469",2024
16,Indonesia,"1,402,590",2024
17,Turkey,"1,344,318",2024
18,Netherlands,"1,218,401",2024
19,Saudi Arabia,"1,108,571",2022
20,Switzerland,"942,265",2024
21,Poland,"862,908",2024
22,Taiwan,"775,017",2024
23,Belgium,"662,183",2024
24,Argentina,"645,511",2023
25,Iran,"644,036",2012
26,Sweden,"637,187",2021
27,Norway,"593,727",2022
28,Nigeria,"574,184",2014
29,Ireland,"560,566",2024
30,United Arab Emirates,"545,053",2024
31,Thailand,"543,977",2014
32,Austria,"535,804",2024
33,Singapore,"530,708",2024
34,Israel,"528,067",2024
35,Egypt,"475,231",2022
36,Philippines,"470,062",2024
37,Vietnam,"468,485",2024
38,South Africa,"458,708",2011
39,Bangladesh,"451,534",2023
40,Malaysia,"439,748",2024
41,Colombia,"417,207",2024
42,Denmark,"412,293",2024
—,Hong Kong,"401,751",2024
43,Romania,"380,561",2024
44,Pakistan,"374,850",2022
45,Greece,"355,870",2008
46,Czech Republic,"343,208",2023
46,Chile,"335,642",2023
48,Finland,"306,083",2024
49,Portugal,"303,032",2024
50,Kazakhstan,"292,553",2024
